Hari,Tanggal,Jam,Modal,Pembelian,Barang,Transaksi,Jumlah,Penjualan,Keuntungan
Selasa,4,1,600.000,456,snack,351,497,487,100.000
Jumat,20,0,400.000,371,gula,381,475,397,150.000
Sabtu,20,5,1.000.000,215,beras,396,968,399,100.000
Senin,2,3,600.000,275,telur,385,120,276,100.000
Kamis,12,9,1.000.000,108,gula,337,892,493,100.000
Jumat,9,4,500.000,279,gula,367,783,278,100.000
Senin,12,9,1.000.000,498,beras,314,902,442,100.000
Sabtu,13,11,500.000,298,telur,373,728,240,130.000
Selasa,13,3,1.000.000,289,susu,332,85,432,150.000
Sabtu,18,3,700.000,301,snack,379,816,478,130.000
Kamis,30,5,400.000,158,snack,325,386,432,130.000
Sabtu,13,8,700.000,297,susu,302,731,126,150.000
Minggu,8,4,1.000.000,384,susu,313,787,115,150.000
Sabtu,16,9,400.000,448,snack,391,673,463,130.000
Selasa,13,2,700.000,259,susu,386,932,146,200.000
Selasa,10,4,1.000.000,104,telur,392,231,230,130.000
Senin,19,5,1.000.000,430,snack,375,807,197,100.000
Sabtu,9,9,500.000,164,susu,352,885,173,100.000
Sabtu,24,9,1.000.000,253,beras,347,145,433,200.000
Sabtu,2,11,500.000,430,telur,320,859,148,130.000
Minggu,12,8,500.000,367,gula,382,492,407,100.000
Rabu,20,1,600.000,439,gula,394,344,278,100.000
Rabu,28,10,1.000.000,169,gula,346,132,143,130.000
Senin,22,5,1.000.000,381,gula,309,383,143,130.000
Minggu,3,1,1.000.000,269,telur,371,697,271,130.000
Selasa,30,5,700.000,399,snack,391,777,174,200.000
Senin,7,2,1.000.000,175,snack,364,983,395,130.000
Jumat,9,11,400.000,309,susu,389,331,180,200.000
Sabtu,11,3,400.000,155,gula,368,471,458,200.000
Selasa,28,0,400.000,346,telur,383,160,246,150.000
Kamis,25,3,600.000,324,telur,397,176,244,130.000
Sabtu,20,10,500.000,385,beras,320,677,327,100.000
Sabtu,1,11,1.000.000,120,snack,388,8,250,200.000
Selasa,26,11,400.000,350,beras,352,682,466,150.000
Selasa,30,7,600.000,470,snack,306,393,469,100.000
Selasa,23,6,500.000,453,susu,358,384,368,100.000
Jumat,30,7,1.000.000,135,susu,384,969,435,100.000
Rabu,17,0,700.000,178,gula,342,426,118,130.000
Sabtu,9,10,1.000.000,447,gula,388,974,284,100.000
Selasa,22,5,400.000,145,beras,374,808,463,130.000
Jumat,7,8,700.000,413,beras,395,348,464,200.000
Rabu,12,10,500.000,166,snack,301,546,423,100.000
Senin,10,6,700.000,334,telur,373,971,134,200.000
Jumat,17,5,1.000.000,363,snack,324,977,338,130.000
Jumat,26,8,600.000,204,beras,358,713,296,200.000
Minggu,5,9,500.000,472,snack,383,515,446,150.000
Senin,7,7,600.000,163,telur,315,833,474,130.000
Jumat,27,5,500.000,420,gula,356,173,393,100.000
Senin,7,4,600.000,306,susu,303,484,480,130.000
Minggu,23,10,1.000.000,102,gula,322,408,323,200.000
Senin,13,7,400.000,461,susu,399,530,241,200.000
Senin,27,8,500.000,263,beras,387,251,335,100.000
Selasa,14,2,500.000,309,telur,393,857,376,200.000
Senin,5,1,1.000.000,201,snack,371,347,245,200.000
Jumat,26,11,400.000,377,snack,390,881,291,130.000
Rabu,28,5,1.000.000,441,gula,327,264,396,150.000
Minggu,10,10,600.000,273,telur,339,143,336,100.000
Senin,15,2,500.000,423,beras,354,689,388,100.000
Senin,29,9,1.000.000,462,gula,396,272,286,150.000
Minggu,8,11,700.000,435,gula,377,726,214,150.000
Rabu,16,10,1.000.000,206,snack,358,614,388,100.000
Jumat,5,7,700.000,395,susu,393,684,458,100.000
Senin,21,8,500.000,357,beras,372,204,139,130.000
Jumat,9,7,1.000.000,158,telur,314,525,419,200.000
Senin,7,2,500.000,432,snack,396,63,239,130.000
Jumat,24,4,600.000,166,snack,304,157,183,100.000
Kamis,8,10,1.000.000,151,susu,399,153,431,150.000
Selasa,13,11,400.000,164,beras,375,861,316,200.000
Senin,12,3,400.000,358,gula,341,852,469,130.000
Jumat,3,4,600.000,426,snack,392,640,119,150.000
Kamis,23,4,600.000,220,snack,366,110,236,200.000
Kamis,20,6,1.000.000,364,gula,375,623,490,200.000
Selasa,27,4,700.000,286,susu,317,517,394,150.000
Jumat,26,5,600.000,328,beras,355,990,437,130.000
Rabu,7,3,700.000,279,snack,381,603,174,200.000
Senin,16,6,700.000,279,snack,329,897,344,100.000
Kamis,16,9,500.000,474,telur,348,141,457,130.000
Kamis,5,5,400.000,243,gula,312,494,459,200.000
Jumat,12,9,400.000,402,telur,325,806,235,150.000
Rabu,14,0,700.000,254,snack,336,927,293,200.000
Senin,24,1,1.000.000,262,gula,341,645,275,130.000
Jumat,25,10,400.000,491,susu,376,275,240,130.000
Senin,14,8,1.000.000,405,snack,320,812,232,100.000
Selasa,25,6,500.000,214,gula,326,770,232,130.000
Sabtu,9,0,500.000,435,telur,364,586,182,150.000
Rabu,5,11,400.000,335,beras,366,767,112,100.000
Senin,20,1,1.000.000,377,susu,308,890,366,100.000
Jumat,13,1,700.000,154,beras,315,649,352,200.000
Sabtu,1,9,400.000,369,gula,371,959,114,150.000
Jumat,10,0,1.000.000,377,snack,363,400,233,150.000
Senin,16,10,1.000.000,387,susu,336,866,260,150.000
Minggu,9,4,600.000,458,gula,301,820,235,130.000
Senin,16,3,1.000.000,186,telur,312,251,244,150.000
Selasa,8,8,700.000,215,susu,365,442,319,150.000
Rabu,26,5,700.000,436,telur,372,586,474,150.000
Senin,23,3,700.000,370,snack,351,244,185,200.000
Kamis,28,7,400.000,358,telur,374,147,185,200.000
Minggu,2,4,700.000,360,snack,392,567,444,150.000
Sabtu,13,7,500.000,128,beras,382,870,360,100.000
Selasa,19,9,1.000.000,448,gula,386,952,241,150.000
Minggu,18,4,1.000.000,155,snack,366,109,108,100.000
Jumat,18,0,700.000,436,gula,319,607,343,130.000
Jumat,28,6,600.000,365,beras,305,195,228,130.000
Kamis,4,0,600.000,479,beras,318,410,298,100.000
Senin,4,10,500.000,156,snack,396,703,499,130.000
Senin,20,11,1.000.000,471,susu,397,923,206,100.000
Senin,29,10,1.000.000,436,snack,355,167,421,200.000
Sabtu,13,9,700.000,489,snack,381,961,138,100.000
Kamis,25,11,400.000,307,susu,381,920,164,150.000
Kamis,22,7,500.000,276,gula,352,982,489,130.000
Jumat,25,3,500.000,333,telur,351,644,481,100.000
Sabtu,17,6,1.000.000,386,gula,372,940,444,100.000
Senin,13,10,700.000,266,snack,363,577,225,150.000
Kamis,8,8,500.000,482,gula,334,864,329,130.000
Kamis,4,3,500.000,269,beras,397,52,432,200.000
Minggu,26,6,700.000,108,gula,346,767,214,130.000
Rabu,25,7,400.000,198,susu,393,650,366,130.000
Kamis,21,7,500.000,353,telur,385,510,321,100.000
Senin,18,7,600.000,459,snack,333,225,216,100.000
Jumat,17,1,700.000,445,gula,369,538,104,100.000
Jumat,11,6,500.000,262,telur,312,727,263,150.000
Selasa,20,7,600.000,251,telur,334,144,110,150.000
Kamis,28,8,700.000,434,snack,307,108,419,130.000
Kamis,27,8,700.000,311,susu,362,63,420,130.000
Minggu,6,0,500.000,392,gula,309,219,437,200.000
Rabu,12,10,400.000,208,telur,365,920,101,130.000
Kamis,11,7,400.000,130,beras,396,74,414,130.000
Selasa,24,2,600.000,245,snack,378,679,342,100.000
Kamis,23,11,700.000,143,telur,395,179,362,100.000
Selasa,23,9,1.000.000,360,snack,301,131,433,200.000
Sabtu,26,8,1.000.000,417,susu,334,9,373,130.000
Kamis,7,1,400.000,477,telur,340,517,306,150.000
Jumat,20,9,600.000,498,gula,315,996,208,100.000
Selasa,30,5,1.000.000,295,telur,335,523,338,100.000
Kamis,22,2,600.000,144,snack,394,293,259,150.000
Sabtu,5,7,1.000.000,268,snack,328,1,125,130.000
Kamis,21,9,500.000,172,gula,379,144,143,100.000
Sabtu,7,7,500.000,300,snack,391,993,359,100.000
Sabtu,8,3,1.000.000,297,snack,369,566,205,130.000
Rabu,17,9,600.000,495,gula,367,641,303,200.000
Senin,18,0,500.000,255,gula,368,700,174,100.000
Kamis,10,2,600.000,347,susu,308,86,284,130.000
Selasa,25,0,500.000,272,telur,313,242,443,100.000
Kamis,25,5,1.000.000,194,snack,342,507,217,130.000
Selasa,9,8,500.000,453,gula,347,580,181,150.000
Minggu,10,5,500.000,304,telur,377,312,201,200.000
Jumat,28,7,700.000,199,beras,377,997,109,130.000
Kamis,26,0,500.000,229,snack,318,578,424,150.000
Selasa,8,4,1.000.000,115,beras,332,424,237,100.000
Rabu,23,10,600.000,306,susu,367,531,354,100.000
Jumat,28,8,1.000.000,291,susu,377,402,280,150.000
Kamis,6,4,500.000,343,telur,364,935,396,200.000
Minggu,7,11,700.000,270,beras,306,78,282,100.000
Senin,29,3,600.000,218,telur,316,52,202,130.000
Senin,22,9,700.000,146,susu,324,750,160,200.000
Selasa,13,8,500.000,277,beras,302,13,254,200.000
Jumat,10,1,400.000,498,snack,381,647,231,100.000
Minggu,15,7,600.000,237,gula,344,848,129,200.000
Rabu,13,1,1.000.000,343,telur,313,423,418,100.000
Senin,6,1,500.000,479,gula,363,515,251,200.000
Sabtu,12,1,400.000,225,beras,352,787,182,130.000
Kamis,5,6,1.000.000,324,beras,374,443,338,200.000
Rabu,21,10,600.000,251,beras,378,555,222,200.000
Jumat,30,8,700.000,129,beras,311,759,177,100.000
Rabu,12,0,700.000,486,telur,359,206,182,150.000
Rabu,21,9,600.000,310,telur,355,185,111,100.000
Senin,21,9,500.000,425,susu,392,492,142,100.000
Senin,8,0,600.000,453,susu,377,413,171,200.000
Senin,20,7,400.000,250,gula,373,961,128,200.000
Selasa,5,1,1.000.000,249,telur,323,387,323,100.000
Senin,28,5,500.000,313,snack,386,518,386,100.000
Selasa,23,5,1.000.000,282,gula,328,601,480,130.000
Sabtu,11,1,400.000,466,snack,306,660,424,100.000
Rabu,11,1,500.000,444,snack,362,183,103,150.000
Sabtu,30,9,1.000.000,462,snack,376,606,209,150.000
Selasa,15,3,700.000,277,snack,395,978,104,100.000
Senin,10,8,600.000,467,snack,387,75,102,150.000
Selasa,2,5,600.000,307,telur,359,890,287,150.000
Sabtu,19,5,1.000.000,248,telur,318,486,495,200.000
Rabu,26,1,600.000,253,susu,326,137,291,150.000
Rabu,13,11,1.000.000,495,telur,322,73,498,150.000
Selasa,21,6,700.000,372,susu,396,587,309,150.000
Selasa,17,0,400.000,495,susu,385,987,494,150.000
Jumat,14,10,500.000,239,susu,338,401,372,130.000
Sabtu,7,8,500.000,469,gula,310,819,389,150.000
Rabu,12,5,1.000.000,244,snack,340,265,406,150.000
Minggu,22,4,1.000.000,290,telur,333,448,416,100.000
Kamis,27,3,1.000.000,251,snack,301,146,443,130.000
Senin,15,6,700.000,425,telur,386,294,192,100.000
Minggu,30,5,500.000,412,susu,350,252,330,130.000
Rabu,2,10,400.000,310,snack,343,595,320,100.000
Selasa,25,6,400.000,123,beras,337,186,401,100.000
