ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
2189,11,1,2022,70,L,42,4,12,10000
9847,14,6,2023,63,P,5,10,5,30000
1607,3,7,2024,41,L,566,19,1,20000
496,31,5,2024,22,P,754,15,8,10000
4478,20,7,2022,76,P,939,20,7,50000
6215,7,6,2023,39,L,284,19,2,10000
7115,14,1,2023,47,P,729,15,2,10000
5182,1,7,2023,21,L,359,17,6,30000
8094,6,1,2022,27,P,574,15,10,50000
8111,7,2,2022,31,L,974,20,10,10000
1349,15,2,2022,71,L,84,14,3,10000
2214,7,7,2024,67,L,245,14,13,10000
2267,13,11,2023,39,L,565,9,9,20000
5064,18,7,2022,23,L,284,16,4,40000
9272,6,7,2024,70,P,901,19,4,50000
3428,1,7,2024,49,P,510,18,4,40000
2279,14,3,2023,63,L,342,12,5,30000
1904,18,7,2023,40,L,246,10,3,40000
2542,2,3,2022,61,L,402,6,2,50000
1192,9,7,2022,30,P,905,9,6,30000
914,14,2,2024,31,L,347,15,12,30000
8006,26,6,2022,78,P,683,9,1,40000
9295,14,8,2024,62,P,42,12,12,20000
3851,7,8,2024,68,P,547,5,6,50000
9437,8,6,2023,37,L,44,10,10,50000
3340,28,12,2023,64,L,760,15,11,30000
2886,29,9,2024,74,L,19,2,11,20000
3364,21,2,2022,34,P,798,6,9,10000
56,21,7,2024,76,L,811,1,3,10000
2500,4,1,2023,22,P,704,5,13,10000
3512,8,7,2022,58,P,602,9,3,50000
2542,6,8,2022,68,P,957,3,5,30000
4870,29,8,2023,60,L,586,20,6,50000
2235,14,5,2024,52,P,654,8,5,20000
6998,30,11,2022,68,P,412,2,1,30000
3076,5,8,2023,35,P,638,6,2,20000
2684,13,9,2024,71,P,540,14,4,50000
620,17,1,2024,36,P,817,16,3,30000
6903,1,1,2022,68,L,249,6,4,40000
6109,6,12,2023,43,P,296,4,14,30000
6032,27,9,2024,56,P,87,15,9,30000
4139,9,11,2024,63,P,528,7,14,20000
2317,5,4,2022,49,L,562,19,8,40000
7012,12,4,2024,55,L,117,19,13,20000
2813,28,6,2024,30,L,535,13,10,10000
8638,18,5,2023,45,L,144,4,5,50000
7898,12,7,2023,31,L,787,17,9,20000
5355,4,11,2024,46,L,937,11,10,50000
8002,6,4,2024,71,L,478,15,12,40000
613,1,10,2022,50,P,885,16,13,30000
3574,21,5,2022,62,P,100,12,10,50000
3352,1,10,2024,26,P,889,20,8,20000
7352,5,10,2022,70,P,614,6,12,50000
8520,15,10,2022,60,P,455,20,13,40000
6913,9,8,2024,62,P,650,6,6,40000
2450,26,2,2023,58,P,460,16,7,20000
9966,14,9,2022,29,L,259,12,9,40000
6304,19,11,2023,80,P,117,14,12,10000
5093,25,4,2023,76,P,869,14,11,30000
7481,7,7,2023,40,L,794,16,10,20000
251,18,10,2024,23,L,697,12,9,50000
4729,7,9,2022,46,L,700,18,4,50000
7250,21,9,2022,70,P,186,1,14,10000
1504,20,8,2024,29,P,318,10,13,50000
3137,19,12,2023,27,L,52,11,2,10000
969,5,10,2022,63,P,319,4,10,20000
736,2,2,2023,54,L,823,9,7,40000
7739,1,8,2022,38,P,391,6,6,30000
9253,27,8,2023,23,P,842,1,11,40000
6712,11,10,2022,54,L,280,7,13,10000
8535,30,5,2024,23,L,546,2,2,30000
2571,28,2,2024,24,L,130,13,4,40000
4766,1,5,2023,28,P,198,7,7,40000
2471,22,4,2022,57,L,812,11,2,30000
9011,11,4,2022,25,P,120,14,4,50000
9542,11,8,2024,62,L,282,17,2,30000
2959,10,7,2024,51,P,189,16,9,30000
3567,26,6,2022,54,L,159,11,1,50000
2551,7,2,2024,22,L,430,14,10,50000
94,30,1,2023,72,P,533,17,3,50000
3750,6,1,2024,33,P,62,5,10,40000
7601,20,9,2024,78,P,46,2,14,40000
2128,18,8,2024,60,L,745,6,12,10000
925,19,4,2023,33,P,789,9,4,50000
3517,18,10,2024,67,L,434,2,12,50000
8229,27,6,2024,71,L,674,16,11,50000
8986,16,8,2022,21,P,642,20,11,10000
8424,21,6,2023,44,P,782,13,14,20000
